routing_strategy,strategy_label,scenario,scenario_label,scenario_name,number_of_runs,number_of_flows,total_throughput_mbit_s_mean,total_throughput_mbit_s_std,total_throughput_mbit_s_min,total_throughput_mbit_s_max,total_throughput_mbit_s_ci95,total_throughput_mbit_s_runs_identical,packet_loss_percent_mean,packet_loss_percent_std,packet_loss_percent_min,packet_loss_percent_max,packet_loss_percent_ci95,packet_loss_percent_runs_identical,weighted_mean_delay_ms_mean,weighted_mean_delay_ms_std,weighted_mean_delay_ms_min,weighted_mean_delay_ms_max,weighted_mean_delay_ms_ci95,weighted_mean_delay_ms_runs_identical,weighted_mean_jitter_ms_mean,weighted_mean_jitter_ms_std,weighted_mean_jitter_ms_min,weighted_mean_jitter_ms_max,weighted_mean_jitter_ms_ci95,weighted_mean_jitter_ms_runs_identical,jain_fairness_index_mean,jain_fairness_index_std,jain_fairness_index_min,jain_fairness_index_max,jain_fairness_index_ci95,jain_fairness_index_runs_identical
STANDARD,Standard,1,Baseline,Szenario 1 - Baseline,1,1.0,102.329076,0.0,102.329076,102.329076,,True,0.0,0.0,0.0,0.0,,True,8.003372,0.0,8.003372,8.003372,,True,0.0,0.0,0.0,0.0,,True,1.0,0.0,1.0,1.0,,True
ECMP,ECMP,1,Baseline,Szenario 1 - Baseline,1,1.0,102.329076,0.0,102.329076,102.329076,,True,0.0,0.0,0.0,0.0,,True,8.003372,0.0,8.003372,8.003372,,True,0.0,0.0,0.0,0.0,,True,1.0,0.0,1.0,1.0,,True
STATIC,Statisch,1,Baseline,Szenario 1 - Baseline,1,1.0,102.329076,0.0,102.329076,102.329076,,True,0.0,0.0,0.0,0.0,,True,8.003372,0.0,8.003372,8.003372,,True,0.0,0.0,0.0,0.0,,True,1.0,0.0,1.0,1.0,,True
ADAPTIVE,Adaptiv,1,Baseline,Szenario 1 - Baseline,1,1.0,102.329076,0.0,102.329076,102.329076,,True,0.0,0.0,0.0,0.0,,True,8.003372,0.0,8.003372,8.003372,,True,0.0,0.0,0.0,0.0,,True,1.0,0.0,1.0,1.0,,True
STANDARD,Standard,2,Mittlere Last,Szenario 2 - Mittlere Last,1,4.0,409.316304,0.0,409.316304,409.316304,,True,0.0,0.0,0.0,0.0,,True,8.003372,0.0,8.003372,8.003372,,True,0.0,0.0,0.0,0.0,,True,1.0,0.0,1.0,1.0,,True
ECMP,ECMP,2,Mittlere Last,Szenario 2 - Mittlere Last,1,4.0,409.316304,0.0,409.316304,409.316304,,True,0.0,0.0,0.0,0.0,,True,8.003372,0.0,8.003372,8.003372,,True,0.0,0.0,0.0,0.0,,True,1.0,0.0,1.0,1.0,,True
STATIC,Statisch,2,Mittlere Last,Szenario 2 - Mittlere Last,1,4.0,409.316304,0.0,409.316304,409.316304,,True,0.0,0.0,0.0,0.0,,True,8.003372,0.0,8.003372,8.003372,,True,0.0,0.0,0.0,0.0,,True,1.0,0.0,1.0,1.0,,True
ADAPTIVE,Adaptiv,2,Mittlere Last,Szenario 2 - Mittlere Last,1,4.0,409.316304,0.0,409.316304,409.316304,,True,0.0,0.0,0.0,0.0,,True,8.003372,0.0,8.003372,8.003372,,True,0.0,0.0,0.0,0.0,,True,1.0,0.0,1.0,1.0,,True
STANDARD,Standard,3,Hohe Last,Szenario 3 - Hohe Last,1,4.0,8186.008907,0.0,8186.008907,8186.008907,,True,0.0,0.0,0.0,0.0,,True,8.003372,0.0,8.003372,8.003372,,True,0.0,0.0,0.0,0.0,,True,1.0,0.0,1.0,1.0,,True
ECMP,ECMP,3,Hohe Last,Szenario 3 - Hohe Last,1,4.0,8186.008907,0.0,8186.008907,8186.008907,,True,0.0,0.0,0.0,0.0,,True,8.003372,0.0,8.003372,8.003372,,True,0.0,0.0,0.0,0.0,,True,1.0,0.0,1.0,1.0,,True
