strategy,strategy_label,scenario,scenario_label,flow_count,total_tx_packets,total_rx_packets,total_lost_packets,total_packet_loss_percent,total_throughput_mbit_s,mean_throughput_mbit_s,mean_delay_ms,mean_jitter_ms,source_file
STANDARD,Standard,1,Baseline,1,24414,24414,0,0.0,102.329076,102.329076,8.003372,0.0,results_standard_szenario_1___baseline.csv
ECMP,ECMP,1,Baseline,1,24414,24414,0,0.0,102.329076,102.329076,8.003372,0.0,results_ecmp_szenario_1___baseline.csv
STATIC,Statisch,1,Baseline,1,24414,24414,0,0.0,102.329076,102.329076,8.003372,0.0,results_static_szenario_1___baseline.csv
ADAPTIVE,Lastabhängig,1,Baseline,1,24414,24414,0,0.0,102.329076,102.329076,8.003372,0.0,results_adaptive_szenario_1___baseline.csv
STANDARD,Standard,2,Mittlere Last,4,97656,97656,0,0.0,409.316304,102.329076,8.003372,0.0,results_standard_szenario_2___mittlere_last.csv
ECMP,ECMP,2,Mittlere Last,4,97656,97656,0,0.0,409.316304,102.329076,8.003372,0.0,results_ecmp_szenario_2___mittlere_last.csv
STATIC,Statisch,2,Mittlere Last,4,97656,97656,0,0.0,409.316304,102.329076,8.003372,0.0,results_static_szenario_2___mittlere_last.csv
ADAPTIVE,Lastabhängig,2,Mittlere Last,4,97656,97656,0,0.0,409.316304,102.329076,8.003372,0.0,results_adaptive_szenario_2___mittlere_last.csv
STANDARD,Standard,3,Hohe Last,4,1953124,1953124,0,0.0,8186.008908,2046.502227,8.003372,0.0,results_standard_szenario_3___hohe_last.csv
ECMP,ECMP,3,Hohe Last,4,1953124,1953124,0,0.0,8186.008908,2046.502227,8.003372,0.0,results_ecmp_szenario_3___hohe_last.csv
STATIC,Statisch,3,Hohe Last,4,1953124,1953124,0,0.0,8186.008908,2046.502227,8.003372,0.0,results_static_szenario_3___hohe_last.csv
ADAPTIVE,Lastabhängig,3,Hohe Last,4,1953124,1953124,0,0.0,8186.008908,2046.502227,8.003372,0.0,results_adaptive_szenario_3___hohe_last.csv
STANDARD,Standard,4,Überlast,4,11713028,9531272,2181756,18.626746217971988,39775.11038,9943.777595,16.619631,0.000243,results_standard_szenario_4___überlast.csv
ECMP,ECMP,4,Überlast,4,11713028,9531272,2181756,18.626746217971988,39775.11038,9943.777595,16.619631,0.000243,results_ecmp_szenario_4___überlast.csv
STATIC,Statisch,4,Überlast,4,11713028,9531272,2181756,18.626746217971988,39775.11038,9943.777595,16.619631,0.000243,results_static_szenario_4___überlast.csv
ADAPTIVE,Lastabhängig,4,Überlast,4,11713028,9531272,2181756,18.626746217971988,39775.11038,9943.777595,16.619631,0.000243,results_adaptive_szenario_4___überlast.csv
